,anio
0,1999-05-18
1,1998
2,1999
3,2000-01-01
4,2000-01-01
5,2001-01-01
6,2002-04-30
7,2002-06-04
8,2002-08-08
9,2003-06-24
10,2003-01-01
11,2014-11-24
12,2004-01-01
13,2004-09-21
14,2003-12-09
15,2004
16,2004-11-22
17,2002
18,2005-08-08
19,2008-06-02
20,2008-01-28
21,2008-05-26
22,2007
23,2008-05-12
24,2008-11-17
25,2009-01-01
26,2008-01-01
27,2008-11-17
28,2010-01-01
29,2010-04-27
30,2010-06-18
31,2009-09-08
32,2011-01-19
33,2010-10-05
34,2012-03-12
35,2011-01-19
36,2015-09-25
37,2011-10-24
38,2011-01-01
39,2012-10-22
40,2011-10-24
41,2012-02-14
42,2012-01-01
43,2012-03-12
44,2011-01-19
45,2011-11-19
46,2012-01-01
47,2011-01-01
48,2013-05-17
49,2012-09-04
50,2013-09-27
51,2012-12-07
52,2013-01-01
53,2012-09-18
54,2013-10-18
55,2012-10-09
56,2014-05-26
57,2014-01-01
58,2014-07-04
59,2014-01-01
60,2015-01-09
61,2014-03-03
62,2013-08-30
63,2014-01-20
64,2014-05-19
65,2014-10-14
66,2013-10-18
67,2015-01-12
68,2014-06-21
69,2014-01-01
70,2015
71,2014-09-02
72,2016-06-24
73,2016-01-28
74,2015-05-15
75,2016-02-11
76,2017-04-17
77,2016-11-17
78,2017-03-03
79,2018-01-12
80,2018-06-15
81,2019-03-29
82,2019-06-21
83,2002-06-25
84,2007-01-01
85,2007-01-01
86,2008-06-02
87,2010
88,2005-11-28
89,2007-03-26
90,2019-10-31
91,2019-12-13
